title,marka,model,catalog_number,prices,item_id,group0,group1,group2,group3,group4,group5,parts_number_v2,number,avito_marka,avito_model,SparePartType,TechnicSparePartType,stock_id,orig_day
Гидроцилиндр рукояти Volvo EC240,volvo,EC240,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр рукояти,,целиком,,,240,volvo,EC240,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Фильтр топливный ZX200-5G,hitachi,ZX200-5G,,,,запчасти двигателя,фильтра,,,целиком,фильтр топливный,,200,hitachi,ZX200-5G,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Трапеция ковша Komatsu PC200-7,komatsu,PC200-7,,,,рабочее оборудование,трапеция,,,,,,200,komatsu,PC200-7,Для навесного оборудования,,,2024-02-03
Планетарная передача CAT 320B L LR,cat,320,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,320,cat,320,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Фильтра Hyundai R170W-7,hyundai,R170W-7,,,,запчасти двигателя,фильтра,!,,,,,170,hyundai,R170W-7,Гидравлические и пневмосистемы,Фильтры и фильтроэлементы,,2024-02-03
Пальцы ковша ZX330-3,hitachi,ZX330,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,330,hitachi,ZX330,Для навесного оборудования,,,2024-02-03
Пальцы ковша Volvo EC240,volvo,EC240,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы ковшевой обвязки,!,,,240,volvo,EC240,Для навесного оборудования,,,2024-02-03
Пальцы втулки Hyundai R140W-7A,hyundai,R140W-7,,,,рабочее оборудование,пальцы и втулки,!,,,,,140,hyundai,R140W-7,Для навесного оборудования,,,2024-02-03
Пальцы стрелы Komatsu PC200-7,komatsu,PC200-7,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,!,,,200,komatsu,PC200-7,Для навесного оборудования,,,2024-02-03
Планетарная ступень CAT 322C L ME,cat,322,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,322,cat,322,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Механизм натяжения ZX200-5G,hitachi,ZX200-5G,,,,ходовая часть,натяжитель,натяжитель в сборе,,,,,200,hitachi,ZX200-5G,Подвеска и рулевое управление,Запчасти для гусеничного хода,,2024-02-03
Пальцы стрелы ZX330-3,hitachi,ZX330,,,,рабочее оборудование,пальцы и втулки,пальцы,пальцы стрелы,!,,,330,hitachi,ZX330,Для навесного оборудования,,,2024-02-03
Ремкомплект гидроцилиндра стрелы ZX330-3,hitachi,ZX330,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр стрелы,,запчасти,комплект уплотнений,,330,hitachi,ZX330,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
Пальцы втулки Hyundai R210NLC-9,hyundai,R210,,,,рабочее оборудование,пальцы и втулки,!,,,,,210,hyundai,R 210-3,Для навесного оборудования,,,2024-02-03
Планетарная ступень CAT 330C,cat,330,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,шестерня,,330,cat,330,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Джойстик управления Komatsu PC200-7,komatsu,PC200-7,,,,гидравлический компонент,джойстик,,,целиком,,,200,komatsu,PC200-7,Гидравлические и пневмосистемы,Пневматика сцепления и тормозов,,2024-02-03
Запчасти редуктора хода CAT 322C L LR,cat,322,,,,гидравлический компонент,редуктор,редуктор хода,,запчасти,!,,322,cat,322,Трансмиссия,"Редуктор, муфта и дифференциалы",,2024-02-03
Гидроцилиндр ковша Komatsu PC200-7,komatsu,PC200-7,,,,гидравлический компонент,гидроцилиндр,гидроцилиндр ковша,,целиком,,,200,komatsu,PC200-7,Гидравлические и пневмосистемы,Гидроцилиндры и баки,,2024-02-03
